fipscode,level,precinctsreportingpct,last,votepct
05043,FIPSCode,1.0,Stein,0.00652
05043,FIPSCode,1.0,McMullin,0.005762
05043,FIPSCode,1.0,Hedges,0.004246
05043,FIPSCode,1.0,Kahn,0.003639
05043,FIPSCode,1.0,Castle,0.002729
05045,FIPSCode,1.0,Trump,0.61746
05045,FIPSCode,1.0,Clinton,0.307804
05045,FIPSCode,1.0,Johnson,0.035243
05045,FIPSCode,1.0,McMullin,0.017632
05045,FIPSCode,1.0,Stein,0.010752
05045,FIPSCode,1.0,Castle,0.004419
05045,FIPSCode,1.0,Hedges,0.003703
05045,FIPSCode,1.0,Kahn,0.002988
05047,FIPSCode,1.0,Trump,0.744313
05047,FIPSCode,1.0,Clinton,0.20325
05047,FIPSCode,1.0,Johnson,0.026145
05047,FIPSCode,1.0,McMullin,0.009897
05047,FIPSCode,1.0,Stein,0.005022
05047,FIPSCode,1.0,Castle,0.004284
05047,FIPSCode,1.0,Kahn,0.003988
05047,FIPSCode,1.0,Hedges,0.003102
05049,FIPSCode,1.0,Trump,0.727368
05049,FIPSCode,1.0,Clinton,0.223596
05049,FIPSCode,1.0,Johnson,0.022422
05049,FIPSCode,1.0,Stein,0.008592
05049,FIPSCode,1.0,McMullin,0.005658
05049,FIPSCode,1.0,Kahn,0.00461
05049,FIPSCode,1.0,Hedges,0.003982
05049,FIPSCode,1.0,Castle,0.003772
05051,FIPSCode,1.0,Trump,0.639309
05051,FIPSCode,1.0,Clinton,0.301703
05051,FIPSCode,1.0,Johnson,0.024237
05051,FIPSCode,1.0,McMullin,0.009778
05051,FIPSCode,1.0,Stein,0.009484
05051,FIPSCode,1.0,Hedges,0.006837
05051,FIPSCode,1.0,Kahn,0.00446
05051,FIPSCode,1.0,Castle,0.004191
05053,FIPSCode,1.0,Trump,0.768972
05053,FIPSCode,1.0,Clinton,0.184419
05053,FIPSCode,1.0,Johnson,0.023774
05053,FIPSCode,1.0,McMullin,0.00685
05053,FIPSCode,1.0,Castle,0.004835
05053,FIPSCode,1.0,Kahn,0.004298
05053,FIPSCode,1.0,Stein,0.00403
05053,FIPSCode,1.0,Hedges,0.002821
05055,FIPSCode,1.0,Trump,0.734247
05055,FIPSCode,1.0,Clinton,0.210342
05055,FIPSCode,1.0,Johnson,0.027671
05055,FIPSCode,1.0,McMullin,0.009452
05055,FIPSCode,1.0,Hedges,0.006712
05055,FIPSCode,1.0,Stein,0.006644
05055,FIPSCode,1.0,Kahn,0.002534
05055,FIPSCode,1.0,Castle,0.002397
05057,FIPSCode,1.0,Trump,0.624344
05057,FIPSCode,1.0,Clinton,0.337211
05057,FIPSCode,1.0,Johnson,0.015038
05057,FIPSCode,1.0,McMullin,0.006809
05057,FIPSCode,1.0,Castle,0.005391
05057,FIPSCode,1.0,Hedges,0.005249
05057,FIPSCode,1.0,Stein,0.003121
05057,FIPSCode,1.0,Kahn,0.002837
05059,FIPSCode,1.0,Trump,0.684193
05059,FIPSCode,1.0,Clinton,0.263647
05059,FIPSCode,1.0,Johnson,0.02001
05059,FIPSCode,1.0,Stein,0.009377
05059,FIPSCode,1.0,McMullin,0.00787
05059,FIPSCode,1.0,Hedges,0.006447
05059,FIPSCode,1.0,Kahn,0.005944
05059,FIPSCode,1.0,Castle,0.002512
05061,FIPSCode,1.0,Trump,0.675439
05061,FIPSCode,1.0,Clinton,0.289046
05061,FIPSCode,1.0,Johnson,0.012837
05061,FIPSCode,1.0,McMullin,0.007916
05061,FIPSCode,1.0,Stein,0.004707
05061,FIPSCode,1.0,Hedges,0.004279
05061,FIPSCode,1.0,Kahn,0.002995
05061,FIPSCode,1.0,Castle,0.002781
05063,FIPSCode,1.0,Trump,0.729837
05063,FIPSCode,1.0,Clinton,0.21162
05063,FIPSCode,1.0,Johnson,0.025856
05063,FIPSCode,1.0,McMullin,0.011385
05063,FIPSCode,1.0,Hedges,0.007419
05063,FIPSCode,1.0,Stein,0.006244
05063,FIPSCode,1.0,Castle,0.004187
05063,FIPSCode,1.0,Kahn,0.003452
05065,FIPSCode,1.0,Trump,0.741924
05065,FIPSCode,1.0,Clinton,0.204295
05065,FIPSCode,1.0,Johnson,0.022944
05065,FIPSCode,1.0,McMullin,0.008994
05065,FIPSCode,1.0,Stein,0.00826
05065,FIPSCode,1.0,Castle,0.005874
05065,FIPSCode,1.0,Hedges,0.005507
05065,FIPSCode,1.0,Kahn,0.002203
05067,FIPSCode,1.0,Trump,0.633631
05067,FIPSCode,1.0,Clinton,0.307021
05067,FIPSCode,1.0,Johnson,0.021528
05067,FIPSCode,1.0,McMullin,0.011249
05067,FIPSCode,1.0,Castle,0.00931
05067,FIPSCode,1.0,Kahn,0.006206
05067,FIPSCode,1.0,Hedges,0.006012
05067,FIPSCode,1.0,Stein,0.005043
05069,FIPSCode,1.0,Trump,0.357226
05069,FIPSCode,1.0,Clinton,0.609099
05069,FIPSCode,1.0,Johnson,0.011431
05069,FIPSCode,1.0,Stein,0.006063
05069,FIPSCode,1.0,McMullin,0.005329
05069,FIPSCode,1.0,Castle,0.004094
